"filename", "language", "TypeScript", "XML", "JSON", "JavaScript", "JSON with Comments", "HTML", "Markdown", "WebAssembly Text Format", "PostCSS", "comment", "blank", "total"
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/components/dr-tabelle.ts", "TypeScript", 1180, 0, 0, 0, 0, 0, 0, 0, 0, 569, 398, 2147
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/components/linkedlist.ts", "TypeScript", 181, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 221
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/fonts/FreeSans-bold.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/fonts/FreeSans-normal.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/generated/locale-codes.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 26
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/generated/locales/en-GB.ts", "TypeScript", 399, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 409
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/generated/locales/es-ES.ts", "TypeScript", 400, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 410
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/index.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 164, 75, 391
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/info/Kurzdokumentation_deutsch.html", "HTML", 0, 0, 0, 0, 0, 874, 0, 0, 0, 3, 15, 892
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/info/Kurzdokumentation_english.html", "HTML", 0, 0, 0, 0, 0, 727, 0, 0, 0, 3, 16, 746
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/info/Kurzdokumentation_spanish.html", "HTML", 0, 0, 0, 0, 0, 749, 0, 0, 0, 3, 16, 768
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/CCAD_element.ts", "TypeScript", 370, 0, 0, 0, 0, 0, 0, 0, 0, 70, 114, 554
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/TFArray.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50, 245
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/ausgabe.ts", "TypeScript", 1112, 0, 0, 0, 0, 0, 0, 0, 0, 110, 276, 1498
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad.ts", "TypeScript", 655, 0, 0, 0, 0, 0, 0, 0, 0, 1713, 179, 2547
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_bemassung.ts", "TypeScript", 390, 0, 0, 0, 0, 0, 0, 0, 0, 40, 150, 580
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_buttons.ts", "TypeScript", 2732, 0, 0, 0, 0, 0, 0, 0, 0, 452, 771, 3955
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_contextmenu.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 0, 0, 0, 54, 66, 290
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_draw_elemente.ts", "TypeScript", 1156, 0, 0, 0, 0, 0, 0, 0, 0, 114, 314, 1584
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_draw_elementlasten.ts", "TypeScript", 452, 0, 0, 0, 0, 0, 0, 0, 0, 401, 131, 984
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_knotenverformung.ts", "TypeScript", 302, 0, 0, 0, 0, 0, 0, 0, 0, 35, 99, 436
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_node.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 24, 39, 170
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_rechnen.ts", "TypeScript", 633, 0, 0, 0, 0, 0, 0, 0, 0, 96, 163, 892
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cad_select.ts", "TypeScript", 662, 0, 0, 0, 0, 0, 0, 0, 0, 73, 201, 936
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/cholesky.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 18, 23, 103
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/confirm_dialog.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 19, 33, 183
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/dateien.ts", "TypeScript", 772, 0, 0, 0, 0, 0, 0, 0, 0, 100, 156, 1028
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/detectos.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 206
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/einstellungen.ts", "TypeScript", 298, 0, 0, 0, 0, 0, 0, 0, 0, 242, 74, 614
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/element.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 93
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/feder.ts", "TypeScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 20, 54, 219
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/gauss.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 58, 18, 124
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/globals.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 41
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/grafik.ts", "TypeScript", 1831, 0, 0, 0, 0, 0, 0, 0, 0, 3162, 649, 5642
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/haupt.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 300, 35, 410
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/haupt3.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 62, 39, 224
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/haupt_2.ts", "TypeScript", 379, 0, 0, 0, 0, 0, 0, 0, 0, 413, 146, 938
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/infos.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/koppelfeder.ts", "TypeScript", 798, 0, 0, 0, 0, 0, 0, 0, 0, 286, 326, 1410
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/lib.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 45, 54, 201
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/locale-picker.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 79
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/localization.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 48
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/mypanelgui.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 0, 0, 0, 67, 49, 278
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/mypdf.ts", "TypeScript", 1233, 0, 0, 0, 0, 0, 0, 0, 0, 106, 357, 1696
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/prot_eingabe.ts", "TypeScript", 421, 0, 0, 0, 0, 0, 0, 0, 0, 40, 75, 536
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/quer1.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25, 113
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/querschnitte.ts", "TypeScript", 510, 0, 0, 0, 0, 0, 0, 0, 0, 128, 148, 786
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/rechnen.ts", "TypeScript", 3120, 0, 0, 0, 0, 0, 0, 0, 0, 584, 981, 4685
