Date : 2026-04-16 14:07:45
Directory : /home/detlef/git-code/d2beam-gui-26-12-2025
Total : 104 files,  60819 codes, 12010 comments, 8738 blanks, all 81567 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/mypdf.ts                                      | TypeScript              |      1,233 |        106 |        357 |      1,696 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/prot_eingabe.ts                               | TypeScript              |        421 |         40 |         75 |        536 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/quer1.ts                                      | TypeScript              |         83 |          5 |         25 |        113 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/querschnitte.ts                               | TypeScript              |        510 |        128 |        148 |        786 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/rechnen.ts                                    | TypeScript              |      3,120 |        584 |        981 |      4,685 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/timoshenko_beam.ts                            | TypeScript              |      1,786 |        306 |        510 |      2,602 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/trans.ts                                      | TypeScript              |         62 |         23 |         24 |        109 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/truss.ts                                      | TypeScript              |      1,077 |        518 |        447 |      2,042 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/utility.ts                                    | TypeScript              |         64 |         31 |         20 |        115 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/zoomtest.ts                                   | TypeScript              |          0 |        155 |          0 |        155 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/contextMenu-css.ts                           | TypeScript              |        112 |         16 |          3 |        131 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/contextMenu.css                              | PostCSS                 |         79 |         25 |         22 |        126 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dark.css                                     | PostCSS                 |        395 |         72 |         64 |        531 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dr-dialog.css                                | PostCSS                 |          7 |          0 |          2 |          9 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dr-drawer-css.ts                             | TypeScript              |         20 |          0 |          3 |         23 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dr-drawer.css                                | PostCSS                 |         15 |          2 |          2 |         19 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/global-css.ts                                | TypeScript              |        641 |          4 |          4 |        649 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/global.css                                   | PostCSS                 |        448 |         81 |         60 |        589 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/light.css                                    | PostCSS                 |        396 |         72 |         63 |        531 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/shared-styles.ts                             | TypeScript              |         17 |          2 |          1 |         20 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/swa-cli.config.json                                     | JSON                    |         12 |          0 |          0 |         12 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/tsconfig.json                                           | JSON with Comments      |         31 |          0 |          1 |         32 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/vite.config.mts                                         | TypeScript              |         61 |          1 |          2 |         64 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/xliff/en-GB.xlf                                         | XML                     |      1,610 |          0 |          1 |      1,611 |
| /home/detlef/git-code/d2beam-gui-26-12-2025/xliff/es-ES.xlf                                         | XML                     |      1,611 |          0 |          1 |      1,612 |
| Total                                                                                               |                         |     60,819 |     12,010 |      8,738 |     81,567 |
+-----------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
